"","2017-10-23 00:00:00","2017-10-23 00:30:00","2017-10-23 01:00:00","2017-10-23 01:30:00","2017-10-23 02:00:00","2017-10-23 02:30:00","2017-10-23 03:00:00","2017-10-23 03:30:00","2017-10-23 04:00:00","2017-10-23 04:30:00","2017-10-23 05:00:00","2017-10-23 05:30:00","2017-10-23 06:00:00","2017-10-23 06:30:00","2017-10-23 07:00:00","2017-10-23 07:30:00","2017-10-23 08:00:00","2017-10-23 08:30:00","2017-10-23 09:00:00","2017-10-23 09:30:00","2017-10-23 10:00:00","2017-10-23 10:30:00","2017-10-23 11:00:00","2017-10-23 11:30:00","2017-10-23 12:00:00","2017-10-23 12:30:00","2017-10-23 13:00:00","2017-10-23 13:30:00","2017-10-23 14:00:00","2017-10-23 14:30:00","2017-10-23 15:00:00","2017-10-23 15:30:00","2017-10-23 16:00:00","2017-10-23 16:30:00","2017-10-23 17:00:00","2017-10-23 17:30:00","2017-10-23 18:00:00","2017-10-23 18:30:00","2017-10-23 19:00:00","2017-10-23 19:30:00","2017-10-23 20:00:00","2017-10-23 20:30:00","2017-10-23 21:00:00","2017-10-23 21:30:00","2017-10-23 22:00:00","2017-10-23 22:30:00","2017-10-23 23:00:00","2017-10-23 23:30:00"
"PPFD_IN_1h",0.0186069651741294,0.0149751243781095,0.0176616915422886,0.0172,0.0204,0.017363184079602,0.028407960199005,0.44681592039801,4.59179104477612,18.3230845771144,46.5176119402985,88.6735323383085,163.7324,242.440301507538,332.350099502488,369.83652173913,508.453084577114,584.775074626866,709.760696517413,781.6399,825.405572139303,873.803880597015,887.084129353234,926.848059701493,950.980248756219,881.391641791045,830.642437810945,780.132288557214,714.381044776119,657.438109452736,575.265870646766,494.455422885572,413.188258706468,337.94328358209,247.464726368159,167.956815920398,104.226019900498,55.4521890547264,23.1601492537313,6.66960199004975,0.799502487562189,0.0443283582089552,0.0196019900497512,0.0211940298507463,0.0205970149253731,0.0213432835820896,0.0185074626865672,0.0171144278606965
"TS",12.9706368159204,12.9379054726368,12.9043134328358,12.89029,12.857545,12.8061343283582,12.7738308457711,12.7422885572139,12.7110646766169,12.6814328358209,12.6534179104478,12.6288407960199,12.6097164179104,12.5961990049751,12.5917860696517,12.596631840796,12.6102786069652,12.6287213930348,12.6667412935323,12.725595,12.758039800995,12.8067860696517,12.8574228855721,12.9080995024876,12.9592437810945,13.0080597014925,13.0546467661692,13.0987512437811,13.1401791044776,13.1790149253731,13.2122487562189,13.2408955223881,13.262736318408,13.2783084577114,13.2857213930348,13.2867661691542,13.2826368159204,13.2726368159204,13.2574129353234,13.2369651741294,13.2122885572139,13.1865671641791,13.1590348258706,13.1307910447761,13.1009004975124,13.0698507462687,13.0369452736318,13.0040895522388
"WD_2h",165.4165,164.7501,164.8714,162.644572864322,163.725728643216,161.970603015075,163.084545454545,162.78898989899,165.057208121827,164.613969849246,164.184020100503,164.261959798995,160.340854271357,163.353819095477,173.249698492462,179.074924623116,183.328442211055,186.599195979899,199.630301507538,195.998102564103,194.706497461929,192.902878787879,194.384141414141,196.232741116751,200.153366834171,200.724371859296,199.276733668342,199.018844221106,206.737336683417,207.401206030151,198.4864,199.51885,197.0077,195.3094,188.38745,186.80115,186.29625,180.6523,175.8455,171.92515,170.81225,167.05565,167.57785,163.957989949749,165.56465,164.4612,165.09515,162.47015
"CO2",423.5155,425.02225,424.99365,426.095757575758,426.846212121212,427.371859296482,428.273015075377,427.574070351759,426.964070351759,425.782763819095,423.184020100502,420.106633165829,416.653718592965,412.977323232323,409.919494949495,406.923571428571,404.654111675127,402.510404040404,400.803535353535,399.109948979592,398.463969849246,398.10040201005,397.536532663317,396.073417085427,396.501256281407,396.464974874372,396.3929,396.009899497487,395.66085,394.60435,394.2661,394.5126,395.21575,396.0856,397.3734,399.2722,401.32935,404.11775,407.9954,411.57955,413.0824,414.51825,416.33025,418.1718,419.6127,420.09785,420.8671,421.836
"FC_1h",3.42924623115578,3.77221105527638,3.74798994974874,3.9913567839196,3.91954545454545,4.14419191919192,3.99095477386935,3.53819095477387,3.43777777777778,3.48121212121212,3.02994974874372,1.06276381909548,-1.29924623115578,-2.32969543147208,-3.74868020304569,-6.09751269035533,-7.20704081632653,-9.02698979591837,-10.1733502538071,-11.6626020408163,-12.3498484848485,-12.8847715736041,-12.8622613065327,-13.0525757575758,-12.8854822335025,-11.915527638191,-11.4050251256281,-11.4744387755102,-10.7009090909091,-10.2607575757576,-8.93323232323232,-7.9116,-6.8036,-5.57120603015075,-3.8992,-1.96075,-0.8773,0.5661,1.2744,1.8032,2.30949748743719,3.03773869346734,3.41547738693467,3.67752525252525,3.8131,4.20935,4.22335,3.40085
"H2O_3h",12.0416,11.974,11.90615,11.8540703517588,11.8088442211055,11.77495,11.7709,11.76075,11.6862,11.6351256281407,11.6042713567839,11.5637688442211,11.5349246231156,11.5204020100503,11.5714070351759,11.6594974874372,11.8422110552764,12.0691959798995,12.2776884422111,12.434923857868,12.4433333333333,12.3902551020408,12.3185279187817,12.2494949494949,12.1819696969697,12.1070558375635,11.9487939698492,11.8821105527638,11.8056783919598,11.7379396984925,11.7087939698492,11.7400502512563,11.8192,11.8234170854271,11.8926,11.9394,11.94475,12.003,11.9801,11.98205,12.08195,12.13725,12.15025,12.15685,12.2331,12.262,12.1618,12.10255
"SB",-4.21945273631841,-4.32412935323383,-4.41462686567164,-4.47075,-4.39625,-4.2307960199005,-4.01900497512438,-3.71358208955224,-3.3565671641791,-2.88626865671642,-2.29442786069652,-1.15318407960199,-0.0659203980099502,0.465323383084577,1.40741293532338,2.39771144278607,3.45766169154229,4.61577114427861,6.06900497512438,6.46985,7.06820895522388,7.44124378109453,7.60024875621891,7.72512437810945,7.69004975124378,7.49482587064677,7.30218905472637,7.04452736318408,6.6855223880597,6.16940298507463,5.54980099502488,4.76621890547264,3.86124378109453,2.9458,1.98009950248756,1.20323383084577,0.506666666666667,-0.235771144278607,-0.895621890547264,-1.50870646766169,-2.02676616915423,-2.37029850746269,-2.71427860696517,-2.99671641791045,-3.31009950248756,-3.60597014925373,-3.87512437810945,-4.05134328358209
"SH_3h",-3.7398,-4.041,-4.43145,-2.6527135678392,-2.72814070351759,-2.11305,-2.93815,-3.32535,-2.3296,-2.1129648241206,-1.83291457286432,-1.6005527638191,-1.61663316582915,0.277185929648241,2.32472361809045,3.8821608040201,6.405,7.09373737373737,9.0369696969697,7.81203045685279,8.03520202020202,7.35382653061224,8.16598984771574,7.81156565656566,6.24858585858586,5.92467005076142,4.64140703517588,5.10713567839196,4.92592964824121,2.75407035175879,2.11879396984925,1.42236180904523,0.7098,0.434221105527638,-0.14045,-1.0614,-1.5552,-2.7914,-4.97905,-5.40695,-6.34015,-6.8743,-7.66745,-7.1294,-7.96975,-7.4035,-4.60045,-3.82575
"SLE_3h",-30.1422105263158,-33.2778421052632,-27.3061497326203,-25.2786842105263,-27.5140721649485,-19.8123195876289,-9.51886597938144,-20.7677319587629,-14.3043523316062,-20.3096875,-16.8907106598985,-18.5204081632653,-13.3289175257732,-5.01030612244898,25.0666666666667,29.4485792349727,38.6120987654321,30.5572727272727,38.219724137931,36.4981290322581,8.33632258064516,18.9728,8.9063768115942,3.85778523489933,8.5358041958042,12.2492592592593,1.46655172413793,0.379319727891157,-0.932847682119205,3.71686131386861,14.0345390070922,-5.46798657718121,18.2412244897959,16.1169503546099,8.12161764705882,7.257,0.160642857142857,1.1438255033557,-8.1159477124183,-5.07728395061728,-15.4992682926829,-7.47162790697674,-21.8230177514793,-30.2919879518072,-17.7325139664804,-32.9253072625698,-30.1834946236559,-32.6959042553191
"ZL_3h",0.9606,1.00345,1.05775,0.857222222222222,0.823316582914573,0.83775,0.901,0.95975,0.7472,1.24822335025381,1.04804020100503,0.575837563451777,1.16262626262626,0.609030612244898,0.424545454545455,0.194848484848485,-1.61115577889447,-2.59560606060606,-1.79363636363636,-1.98191919191919,-1.71437185929648,-1.35085427135678,-1.21984924623116,-1.28457286432161,-1.04482412060302,-1.28085427135678,-0.659346733668342,-0.65550505050505,-0.756683417085427,-0.765577889447236,-0.828643216080402,-0.648643216080402,-0.57105,-0.51155,-0.4045,-0.4231,-0.3512,0.12355,-0.16425,0.2012,0.4189,0.5411,0.794623115577889,0.7358,0.76565,0.9018,1.08345,0.7855
